Name,Population,Sq Mi,X,Y,Zip Code,Total Cases,Daily Cases,GF
Akron,9549,59.61,43.0414,-78.4963,14001,75,0.0,0.0
Alden,12851,46.68,42.894668,-78.4833,14004,125,0.0,0.0
Angola,10113,28.86,42.6361,-79.02794,14006,117,0.0,0.0
Basom,1923,41.17,43.0811,-78.4012,14013,0,0.0,0.0
Boston,3060,23.54,42.6214,-78.7217,14025,33,0.0,0.0
Bowmansville,910,0.79,42.9441,-78.6867,14026,12,0.0,0.0
Chaffee,1867,20.9,42.5737,-78.507,14030,5,0.0,0.0
Clarence,10145,20.83,42.993,-78.607,14031,160,0.0,0.0
Clarence Center (North),8964,25.14,43.04275,-78.6292,14032,126,0.0,0.0
Colden,2396,19.96,42.6521,-78.6869,14033,12,0.0,1.9626262626262623
Collins,1922,26.0,42.49089,-78.8573,14034,12,0.0,1.994444444444444
Cowlesville,1081,17.91,42.8054,-78.4507,14037,1,0.0,1.7944444444444438
Depew,25714,9.15,42.89925,-78.70735,14043,303,0.0,0.0
Derby,6463,12.32,42.69266,-78.9934,14047,70,0.0,0.0
East Amherst,20690,16.19,43.0442,-78.695,14051,291,0.0,0.0
East Aurora,17482,62.71,42.775,-78.5753,14052,377,0.0,0.0
East Concord,1312,29.7,42.5468,-78.5954,14055,9,0.0,0.0
Eden,7934,48.1,42.652283,-78.89698,14057,131,0.0,2.6126043039086513
Elma,9381,26.72,42.8255,-78.62666,14059,136,0.0,2.8010101010101005
Getzville,8374,3.8,43.0269,-78.762,14068,265,0.0,2.5660101010101
Glenwood,678,5.42,42.6057,-78.6191,14069,5,0.0,2.443787878787878
Gowanda,7706,44.41,42.44377,-78.90769,14070,36,0.0,0.0
Grand Island,20809,33.26,43.0119,-78.9559,14072,316,0.0,0.0
Hamburg,43111,38.97,42.716,-78.82434,14075,786,0.0,0.0
Holland,4460,50.61,42.6405,-78.5435,14080,44,0.0,0.0
Irving,3204,40.63,42.4617,-79.027,14081,21,0.0,0.0
Evans (Lake View),7831,6.43,42.8957,-78.8878,14085,106,0.0,2.7664887794198134
Lancaster,33960,35.48,42.90584000000001,-78.6296,14086,585,0.0,2.038409961685823
Lawtons,1086,22.21,42.5386,-78.9061,14091,12,0.0,1.2720696353454968
Marilla,1244,4.86,42.8368,-78.5573,14102,17,0.0,1.3443110146558417
North Collins,3482,32.93,42.581,-78.8707,14111,52,0.0,2.133199903544731
Orchard Park,30810,40.39,42.7429,-78.7569,14127,524,0.0,3.373199903544731
Sardinia,139,2.42,42.5276,-78.5045,14134,1,0.0,2.386993006993007
South Wales,2371,23.28,42.69757,-78.5433,14139,11,0.0,0.0
Springville,7799,73.22,42.5329,-78.7157,14141,89,0.0,0.0
Strykersville,1405,26.97,42.7296,-78.41938,14145,0,0.0,0.0
Tonawanda,40850,17.07,42.99298,-78.8812,14150,575,0.0,0.0
West Falls,2270,13.31,42.7087,-78.6647,14170,23,0.0,0.0
Allentown (Downtown),11502,1.02,42.8994,-78.8765,14201,366,0.0,0.0
Waterfront/Dowtown (Fat Bobs/Dino BBQ/Pearl Street Bar),3969,0.82,42.88800000000001,-78.8762,14202,75,0.0,0.0
Downtown (Main and Michigan to North),1724,2.8,42.8676,-78.87388,14203,56,0.0,0.0
Downtown (Fruitbelt to First Ward),9233,1.7,42.88449,-78.8623,14204,260,0.0,1.7881518294439644
West Seneca (Kaisertown),20425,4.76,42.880699,-78.81424,14206,304,0.0,1.9919365721997302
Black Rock/Riverside/Upper West Side ,24197,3.87,42.951,-78.895,14207,709,0.0,0.6469365721997302
Hamlin Park (East Buffalo),10781,1.15,42.9155,-78.8515,14208,396,0.0,0.7072306898467892
Delaware (Main - Allen to Park),8509,1.14,42.917,-78.86399999999998,14209,347,0.0,0.7097351621187034
Larkin Square/Seneca (South),14095,3.87,42.86175,-78.83014,14210,230,0.0,-0.025450023066482075
MLK Park (Buffalo/Cheektowaga),21831,3.61,42.90795,-78.81925,14211,585,0.0,0.10195469562680284
Broadway/Sloan,10262,2.41,42.8973,-78.81829,14212,294,0.0,-0.01835142682217674
West Side,26700,2.82,42.9166,-78.8919,14213,665,0.0,0.19483930401561286
South Main St/FLR House (Buffalo (University)),19330,3.31,42.9387,-78.83975,14214,620,0.0,0.3803690197778868
South Campus (Buffalo East),38599,4.55,42.9334,-78.80815,14215,1256,0.0,0.4410644090447045
Hertle/Lloyds,21800,2.84,42.9475,-78.8637,14216,441,0.0,0.23054078196935332
North Elmwood (Kenmore/Clay Handi),22536,3.14,42.9767,-78.8756,14217,402,0.0,0.24235853232530963
Lackawana,18590,8.07,42.8155,-78.8112,14218,401,0.0,0.09546098542776278
Blasdell (Wegmans),11999,6.63,42.7879,-78.8293,14219,169,0.0,-0.10754201757524022
South Buffalo (South Park/Mercy Hospital of Buffalo),23821,4.4,42.84474,-78.82575,14220,345,0.0,-0.06305222165687288
Williamsville (Amherst/Clarence),54529,22.92,42.9872,-78.7222,14221,1044,0.0,0.2907903709357197
Elmwood Village,12807,1.02,42.9178,-78.8747,14222,252,0.0,0.2027203014703014
South Campus (Lincoln Park),23657,3.48,42.97428,-78.8478,14223,357,0.0,0.23891077766077756
West Seneca,41070,20.19,42.83744,-78.7429,14224,607,0.0,0.5668682433231613
Cheektowaga/Airport,33861,11.79,42.9267,-78.748,14225,571,0.0,0.4182968147517327
Amherst (Snyder/Eggertsville),28674,7.24,42.9761,-78.7937,14226,535,0.0,0.10897663931313621
Cheektowaga (Bellevue),22419,7.93,42.8855,-78.7448,14227,470,0.0,0.17706569311647574
North Campus/Sweethome/West Amherst,21775,15.28,43.038299,-78.778411,14228,478,0.0,0.13821264652149373
UB North Campus (Amherst),1670,0.97,,,14260,92,0.0,-0.27285292724899807
